NUMERO,NUMERO_SEQUENCIAL,ANO,TIPO_CONVENCAO_CODIGO,TIPO_CONVENCAO_DESCR,TIPO_CONVENCAO_DESCR_LONG,TIPO_CONVENCAO_ORDEM,NATUREZA_CODIGO,NATUREZA_DESCRICAO,NOMECC,AMBITO_GEOGRAFICO_IRCT,AMBITO_GEOGRAFICO_CODE_IRCT,NUMBTE,DATABTE,SERIEBTE,AMBGEG,DATA_EFEITOS,AREA,DIST,CONC,PROV,CODCAE
5447,1,2009,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CCT ENTRE A ANO - ASSOCIAÇÃO NACIONAL DE TERAPEUTAS MANIPULATIVOS E O SIMAC - SINDICATO NACIONAL DOS MASSAGISTAS DE RECUPERAÇÃO E CINESIOTERAPEUTAS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO.,Nacional,1,5,2009.02.08 00:00:00,0,E,2009.01.01 00:00:00,1,0,0,1,86906
6676,1,2018,2,CCT,Contrato coletivo de trabalho,1,4,Rev. Global,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇAO PORTUGUESA DE HOTELARIA; RESTAURAÇAO E TURISMO E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMERCIO; RESTAURAÇAO E TURISMO - SITESE - REVISAO GLOBAL,Nacional,1,47,2018.12.22 00:00:00,0,E,2018.07.01 00:00:00,1,0,0,1,55116
6676,1,2018,2,CCT,Contrato coletivo de trabalho,1,4,Rev. Global,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇAO PORTUGUESA DE HOTELARIA; RESTAURAÇAO E TURISMO E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMERCIO; RESTAURAÇAO E TURISMO - SITESE - REVISAO GLOBAL,Nacional,1,47,2018.12.22 00:00:00,0,E,2018.07.01 00:00:00,1,0,0,1,55124
6676,1,2018,2,CCT,Contrato coletivo de trabalho,1,4,Rev. Global,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇAO PORTUGUESA DE HOTELARIA; RESTAURAÇAO E TURISMO E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMERCIO; RESTAURAÇAO E TURISMO - SITESE - REVISAO GLOBAL,Nacional,1,47,2018.12.22 00:00:00,0,E,2018.07.01 00:00:00,1,0,0,1,56107
6676,1,2019,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇÃO PORTUGUESA DE HOTELARIA; RESTAURAÇÃO E TURISMO E O SINDICTO DOS TRABALHADORES E TÉCNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,28,2019.07.29 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,5511
6676,1,2019,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇÃO PORTUGUESA DE HOTELARIA; RESTAURAÇÃO E TURISMO E O SINDICTO DOS TRABALHADORES E TÉCNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,28,2019.07.29 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,55202
6676,1,2019,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A APHORT - ASSOCIAÇÃO PORTUGUESA DE HOTELARIA; RESTAURAÇÃO E TURISMO E O SINDICTO DOS TRABALHADORES E TÉCNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,28,2019.07.29 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,56210
6686,1,2019,4,AE,Acordo de empresa,3,4,Rev. Global,ACORDO DE EMPRESA ENTRE A BMO PORTUGAL - GESTÃO DE PATRIMÓNIOS; SA E O SINDICATO NACIONAL DOS QUADROS E TÉCNICOS BANCÁRIOS E OUTRO  - REVISÃO GLOBAL,Nacional,1,5,2019.02.08 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,66300
6689,2,2019,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO DAS EMPRESAS DE VINHO DO PORTO (AEVP) E O SIDICATO NACIONAL DOS TRABALHADORES DA INDÚSTRIA E COMÉRCIO DE ALIMENTAÇÃO; BEBIDAS E AFINS - ALTERAÇÃO,Nacional,1,28,2019.07.29 00:00:00,0,E,,1,0,0,1,20143
6690,1,2019,4,AE,Acordo de empresa,3,1,1º CC,"ACORDO DE EMPRESA ENTRE A FUNDAÇAO INATEL E A FESAHT-FEDERAÇAO DOS SINDICATOS DA AGRICULTURA; ALIMENTAÇAO; BEBIDAS; HOTELARIA E TURISMO DE PORTUGAL E OUTROS
",Nacional,1,6,2019.02.15 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,55111
